company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,"6,086,680","2,803,459","94,527","6,925,626","4,691,790","3,702,363","974,518","16,583,876","12,554,416","7,619,930","2,791,235","15,118,683","11,146,391","5,801,729","1,999,624","9,957,560","7,560,173","4,909,537","2,032,641"
亞泥,1102,"2,701,980","1,531,817","194,459","4,934,483","4,406,554","4,576,251","1,542,288","10,905,998","8,239,271","5,878,672","1,683,231","12,164,319","7,186,045","5,177,191","1,377,467","6,937,248","5,248,199","4,297,198","1,757,228"
嘉泥,1103,"-103,717","-252,401","-188,985","213,321","-384,582","-67,606","-183,290","53,788","191,436","11,588","-34,204","1,289,927","192,982","14,542","59,637","-684,184","-691,839","18,563","207,198"
環泥,1104,"1,202,080","852,027","342,983","1,383,108","909,732","611,669","261,837","1,384,455","1,043,688","685,864","240,829","1,118,979","758,997","520,465","183,441","714,934","593,966","413,418","146,032"
幸福,1108,"273,547","194,764","104,371","462,763","399,494","308,860","155,005","367,067","296,111","218,918","68,510","162,817","159,109","106,093","63,869","174,181","159,564","139,108","120,150"
信大,1109,"76,467","43,960","-33,204","-57,407","-101,495","-29,225","1,507","336,764","275,242","252,234","107,003","322,700","120,940","106,789","35,090","58,460","-23,860","8,924","12,611"
東泥,1110,"226,593","235,320","216,613","144,466","122,288","60,897","35,987","142,301","168,209","104,762","68,173","146,860","187,280","78,248","61,097","69,324","162,590","97,899","89,646"
味全,1201,"-409,728","-442,828","-82,461","-2,193,589","-1,409,996","-605,977","-329,252","-385,493","288,189","373,873","236,328","703,950","703,896","456,785","247,114","580,149","555,145","357,868","219,085"
味王,1203,"423,616","254,714","122,961","459,738","471,904","316,442","203,231","361,118","267,312","218,850","127,870","363,223","335,388","212,577","120,200","148,303","86,017","54,139","-15,473"
大成,1210,"1,989,195","1,244,273","597,271","486,215","619,826","229,104","89,692","999,577","1,293,169","750,828","367,411","2,256,640","650,130","227,044","291,215","1,107,285","1,015,233","637,368","419,378"
大飲,1213,"19,142","12,135","4,984","16,511","29,575","11,316","11,069","11,509","18,317","3,517","3,780","16,434","24,707","3,688","8,902","11,438","20,189","2,553","7,613"
卜蜂,1215,"867,188","558,577","260,953","721,086","490,386","287,105","178,703","808,247","570,312","392,578","206,612","451,728","241,541","77,133","68,825","304,822","219,828","46,549","10,028"
統一,1216,"19,827,173","13,576,783","6,398,071","21,593,165","19,357,662","13,535,823","6,616,277","18,210,347","14,945,483","11,404,458","6,536,262","20,739,962","17,377,739","10,858,705","5,750,194","18,474,714","14,784,958","9,077,462","4,486,300"
愛之味,1217,"-52,251","-84,022","-32,326","59,728","97,190","-129,258","-76,615","-409,222","-349,854","-311,832","-156,659","-59,987","-75,779","7,628","12,780","57,366","77,476","15,373","1,102"
泰山,1218,"274,059","130,683","53,065","123,951","79,262","-22,327","-9,727","69,895","74,915","2,625","24,056","-119,327","73,278","16,976",-892,"-208,400","129,945","-22,746","-68,860"
福壽,1219,"52,548","46,414","26,721","62,419","26,565","11,866","18,988","126,263","52,899","51,975","43,411","23,887","-43,402","-48,917","-34,655","-63,708","35,202","-15,539","-33,129"
台榮,1220,"123,013","96,941","38,904","107,121","80,261","14,560","-3,834","41,867","49,178","38,359","23,778","40,442","64,763","21,202","32,045","148,537","126,053","66,065","36,443"
福懋油,1225,"347,692","234,941","114,629","591,335","108,679","45,142","32,442","61,189","-14,862","43,671","39,375","72,634","39,120","44,404","24,293","44,473","96,837","2,720","-13,864"
佳格,1227,"1,922,047","1,301,258","878,890","2,752,467","2,151,641","1,298,150","918,848","2,090,360","1,571,579","869,175","542,165","1,862,855","1,440,286","1,035,325","699,669","2,243,217","1,596,288","1,009,063","623,268"
聯華,1229,"1,635,374","922,815","339,308","1,407,994","1,320,958","997,703","282,478","1,688,479","1,535,500","1,117,932","660,832","1,322,356","968,123","558,300","229,649","1,555,699","1,127,885","839,480","216,783"
聯華食,1231,"319,243","201,083","125,901","358,694","248,703","129,251","97,983","222,430","96,007","42,644","26,702","339,182","218,897","159,566","111,496","366,495","288,949","173,859","78,474"
大統益,1232,"641,816","449,033","176,742","921,298","699,335","422,729","243,960","994,929","590,068","438,681","290,656","713,668","502,731","397,305","212,608","448,836","427,196","292,065","121,865"
天仁,1233,"124,388","93,349","50,633","209,277","136,964","93,137","60,119","231,846","184,521","134,277","84,577","230,577","183,667","119,622","68,672","233,223","202,976","132,951","66,615"
黑松,1234,"999,539","763,452","88,077","620,310","567,168","276,123","123,028","394,958","313,833","118,406","64,286","312,119","-177,160","-416,140","102,664","8,113,524","359,942","161,325","57,812"
興泰,1235,"266,727","139,476","83,417","46,937","23,584","-32,347",-192,"51,449","136,488","63,483","27,712","-46,024","-39,049","-49,509","-34,836","12,936","19,295","-38,101","-9,838"
宏亞,1236,"8,429","-8,018","32,507","101,818","58,042","48,034","73,060","167,464","128,644","117,183","23,243","136,168","52,687","50,005","62,845","138,932","6,233","-44,581","-4,364"
鮮活果汁-KY,1256,"206,446","112,378","39,253","208,451","198,438","130,610","47,510","243,890","211,448","132,043","56,727","216,752","178,466","106,588","45,783","93,682","71,498","35,355","12,601"
其祥-KY,1258,"137,468","76,816","40,700","126,945","116,411","66,252","30,032","92,872","66,509","50,482","24,932","57,777","36,642","23,849","11,762","80,403","55,073","44,199","26,004"
安心,1259,"136,325","85,492","25,979","86,328","78,304","34,153","15,952","45,089","55,247","24,660","3,630","23,772","25,616","13,073",690,"35,350","33,281","21,541","18,913"
綠悅-KY,1262,"1,290,633","847,700","393,511","1,560,212","1,152,679","747,539","349,545","1,538,077","1,020,020","684,036","351,341","1,131,852","793,023","496,319","226,861","953,592",,,
德麥,1264,"366,576","239,589","121,897","435,058","315,743","216,158","116,362","362,367","230,277","147,465","74,249","287,839","210,917","139,455",,"241,084",,,
台塑,1301,"27,336,741","15,941,360","5,712,824","30,877,269","25,034,871","14,504,792","3,643,685","17,874,892","18,406,002","10,918,254","7,182,974","20,715,841","15,086,924","8,602,830","5,500,227","14,662,520","11,767,620","3,659,775","4,846,311"
南亞,1303,"21,743,755","13,593,961","5,290,566","36,081,704","30,906,327","20,727,888","8,169,341","32,773,254","29,334,834","19,701,610","9,364,725","25,063,700","18,696,566","10,690,186","6,938,975","3,593,287","2,669,046","-1,955,489","1,054,247"
台聚,1304,"1,772,904","1,282,178","446,718","1,537,106","1,146,663","1,086,492","391,412","628,676","706,813","394,282","181,448","1,690,754","1,383,387","1,033,521","629,931","2,733,994","2,700,368","1,939,215","1,088,143"
華夏,1305,"917,343","616,248","191,844","812,418","521,713","438,506","169,793","122,395","184,301","136,645","161,904","814,836","659,585","519,363","352,668","910,631","760,964","525,880","360,089"
三芳,1307,"939,849","637,368","383,314","1,101,578","839,168","504,265","284,407","969,759","722,756","499,773","264,750","798,829","552,814","364,306","220,310","707,397","512,520","331,579","176,282"
亞聚,1308,"444,737","295,859","96,014","531,557","405,445","301,199","121,311","499,933","418,462","267,681","105,176","536,855","415,413","288,769","130,712","618,262","638,578","426,159","248,094"
台達化,1309,"17,989","63,307","49,775","67,525","91,067","272,392","82,198","-631,186","-404,596","-292,698","-212,860","17,383","96,870","104,985","52,361","-63,747","-71,755","-149,361","72,861"
台苯,1310,"975,515","587,076","395,950","573,454","555,923","507,220","29,497","-50,960","224,581","314,749","12,997","1,018,643","776,867","239,664","25,820","-484,658","-415,363","-439,933","-106,195"
國喬,1312,"1,607,548","978,004","600,518","1,652,077","1,455,063","1,245,108","326,806","490,681","521,511","272,572","156,209","2,161,270","1,550,514","828,409","217,806","1,889,355","1,718,145","1,401,702","184,728"
聯成,1313,"595,076","336,220","32,178","-172,472","316,212","561,851","87,486","-243,902","52,867","-112,638","-161,670","593,028","453,882","153,431","169,177","1,199,841","1,110,523","454,764","432,067"
中石化,1314,"-1,433,320","-1,421,342","-721,949","82,770","142,086","531,057","182,950","294,532","1,352,153","1,621,044","-210,817","5,245,067","-1,184,840","-873,185","-257,670","1,405,326","2,027,329","2,429,747","1,931,522"
達新,1315,"214,380","41,861","30,558","244,876","205,384","25,867","3,081","225,570","157,990","14,057","-3,091","170,604","157,999","55,250","4,765","153,799","182,714","14,329","10,723"
上曜,1316,"-80,541","-61,329","-31,888","-122,367","-88,476","-61,564","-49,079","-35,467","-131,643","-83,562","-33,865","-210,246","-135,976","-79,402","-28,385","-135,158","-67,415","-42,647","-29,496"
東陽,1319,"1,731,913","1,162,882","635,667","1,730,936","1,047,838","565,317","430,698","952,523","914,514","673,033","404,685","1,398,615","1,093,309","743,512","334,919","858,281","693,479","463,146","314,901"
大洋,1321,"52,547","18,487","3,533","37,129","71,351","27,607","4,225","-145,025","-91,082","-26,302","1,446","13,209","40,769","8,814","1,384","-127,350","-83,554","-68,815",-593
永裕,1323,"263,665","160,695","74,185","295,992","200,214","114,742","59,328","349,629","247,607","148,138","76,127","302,923","221,288","146,085","65,827","229,103","167,701","112,459","55,102"
地球,1324,"49,569","38,942","17,404","57,840","42,976","21,794","6,902","43,053","36,160","25,026","15,150","43,504","34,270","26,674","14,079","37,575","21,108","5,689","4,000"
恒大,1325,"75,456","65,850","35,031","98,244","69,570","35,597","18,239","56,620","26,333","16,296","20,977","71,674","50,071","39,604","25,156","72,684","50,734","31,102","21,816"
台化,1326,"38,877,342","22,124,269","7,819,137","31,617,547","24,503,738","15,532,015","2,057,091","14,019,220","19,280,542","10,542,622","6,316,423","26,678,524","22,893,267","13,125,149","8,533,076","8,246,905","4,387,510","-2,328,160","3,394,906"
恩得利,1333,"-31,311","-28,389","-21,129","-34,052","-1,084","-2,714","4,098","-98,683","-74,064","-79,888","-69,055","-25,005","10,727","23,762","8,393","-61,135","-57,596","-61,648","-39,058"
台翰,1336,"-127,338","-86,083","-27,456","-149,080","-128,547","-94,573","-34,215","-39,752","31,652","29,451","21,487","6,247","-19,066","-6,494","5,834","-51,244","-52,334","-41,845","-4,522"
再生-KY,1337,"389,258","256,050","113,708","390,463","213,439","101,630","68,099","1,133,135","916,702","634,955","305,947","1,287,222","1,057,801","607,720","230,132","1,500,952","1,160,674","745,618","316,376"
