company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,45.13,45.39,44.5,46.95,46.88,49.66,44.02,44.66,45.72,47.44,44.62,45.66,46.62,49.12,46.72,49.61,50.42,52.69,49.15
亞泥,1102,41.59,42.91,42.86,42.66,44.28,44.08,41.86,42.82,42.36,44.19,40.15,41.75,42.2,45.38,41.17,47.2,48.26,50.51,46.03
嘉泥,1103,38.76,49.27,47.85,48.7,52.4,44.99,42.76,42.73,43.56,43.86,36.91,35.58,41.16,43.79,43.42,43.45,44.76,43.34,39.07
環泥,1104,19.39,21.9,19.06,19.88,19,21.11,18.29,18.49,18.28,20.36,17.45,18.08,18.16,19.62,16.21,16.02,16.15,18.37,16.07
幸福,1108,38.83,39.25,36.12,38.32,40.51,43.98,41.87,44.82,46.42,47.77,46.9,48.7,49.53,50.26,50.05,51.49,51.45,53.34,52.73
信大,1109,24.58,25.61,25.27,26.03,30.39,24.26,22.7,24.25,24.19,30.94,26.29,26.88,26.27,28.52,26.83,29.64,28.18,30.11,28.96
東泥,1110,6.85,8.07,6.04,7.92,6.86,7.89,7.21,7.74,7.73,8.82,8.9,8.25,8.12,9.12,8.13,9.64,9.75,9.53,9.69
味全,1201,78.01,78.09,76.73,76.78,75.46,72.92,72.28,71.71,70.42,70.75,69.87,69.68,70.55,70.59,69.6,68.9,69.11,69.29,67.91
味王,1203,39.72,39.26,36.07,38.13,37.64,39.08,35.5,38.03,38.81,40.74,37.07,37.34,39.18,41.06,39.12,38.97,39.05,40.85,41.49
大成,1210,47.62,48.56,48.84,51.91,51.24,52.04,51.49,51.82,51.62,52.02,49.66,51.15,53.75,53.79,50.34,51.44,50.33,51.71,47.79
大飲,1213,23.5,19.09,19.28,19.52,23.03,19.46,20.21,17.78,23.85,18.71,18.96,19.35,24.98,21.92,18.58,20.03,25.3,20.43,20.42
卜蜂,1215,41.47,42.81,41.17,46.24,44.4,43.83,44.26,42.86,44.39,47,44.04,46.68,50.98,53.07,50.28,51.34,50.37,46.95,45.95
統一,1216,59.93,62.51,59.27,60.97,61.18,64.03,61.71,62.23,63.4,64.49,61.98,62.71,63.77,65.22,62.19,61.38,63.56,65.39,62.18
愛之味,1217,49.79,48.42,46.63,46.52,46.79,54.61,54.65,54.52,56.01,55.76,54.41,53.6,54.91,52.98,54.24,53.12,52.5,50.28,47.22
泰山,1218,53.88,57.23,56.77,56.06,58.55,58.89,56.92,56.85,61.22,63.23,58.52,57.59,57.79,57.36,58.56,58.82,57.64,56.92,54.42
福壽,1219,51.22,51.84,47.67,49.05,42.63,40.83,39.38,37.57,37.72,40.26,36.26,31.61,34.45,38.95,34.52,38.78,34.66,35.87,37.59
台榮,1220,20.53,22.34,20.99,25.47,24.37,28.04,26.34,32.12,26.83,26.09,26.82,27.03,21.41,24.46,23.41,23.59,23.66,26.77,27.33
福懋油,1225,46.82,49.95,44.5,47.69,51.01,52.25,51.42,54.16,57.54,60.1,57.97,56.83,60,62.58,61.82,62.91,61.73,62.8,62.82
佳格,1227,35.13,33.87,28.91,34.22,32.63,34.79,29.66,33.28,30.35,35.26,26.57,31.81,32.04,32.33,24.13,27.02,23.73,29.71,22.46
聯華,1229,20.12,21.98,17.2,17.32,18.23,21.01,16.31,16.34,17.79,21.24,17.81,19.27,20.48,24.63,20.01,20.15,18.79,21.56,18.98
聯華食,1231,52.73,56.51,54.57,56.58,57.88,59.22,57.25,57.61,59.37,59.88,56.75,53.52,53.03,54.46,51.16,50.48,51.21,55.18,52.02
大統益,1232,23.46,34.53,20.94,23.69,21.81,34.14,20.78,26.95,21.05,36.37,19.5,24.34,28.98,34.44,22.2,31.84,28.4,34.6,19.88
天仁,1233,27.89,30.67,23.53,26.87,28.34,31.73,22.62,26.81,27.98,33.56,22.04,27.59,24.48,31.34,21.09,21.66,20.52,26.91,16.75
黑松,1234,20.12,20.46,19.67,21.22,19.99,21.81,19.1,19.14,20.82,24.3,20.41,20.34,26.28,25.28,17.71,16.67,26.61,27.26,24.82
興泰,1235,32.43,38.72,43.4,47.93,49.86,52.3,48.41,48.12,38.57,45.31,47.96,48.8,47.72,47.85,46.56,45.78,45.12,47.04,44.77
宏亞,1236,40.85,38.43,41.01,43.22,45.25,42.57,39.15,41.92,38.81,38.88,39.81,46.35,44.92,44.64,47.79,49.51,51.56,49.19,48.72
鮮活果汁-KY,1256,49.73,55.81,48.22,46.65,47.8,51.84,43.03,41.62,43.26,46.93,37.24,38.39,44.53,43.57,39.04,41.25,44.27,52.17,50.22
