companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 台泥,1101,,4.05,1.86,0.06,4.36,2.94,2.37,0.6,10.51,8.18,5.06,1.79,10.24,7.77,4.13,1.39,7.63,5.9,3.88
 亞泥,1102,,1.84,1.04,0.13,3.12,2.74,2.85,0.94,6.93,5.4,3.9,1.1,8.18,4.95,3.59,0.95,6.85,5.25,4.33
 嘉泥,1103,,-0.69,-1.84,-1.35,1.28,-2.3,-0.37,-0.97,0.26,0.94,0.06,-0.16,6.8,1.14,0.09,0.36,-3.96,-4.09,0.11
 環泥,1104,,7.46,5.3,2.12,8.7,5.73,3.88,1.64,9.13,7.03,4.68,1.64,8.06,5.62,3.88,1.36,5.41,4.51,3.16
 幸福,1108,,5.87,4.27,2.15,10.64,9.35,7.43,3.54,8.92,6.65,4.95,1.54,3.78,3.7,2.48,1.5,4.19,3.82,3.35
 信大,1109,,1.21,0.69,-0.52,-0.86,-1.51,-0.42,0.02,4.76,3.92,3.62,1.49,4.61,1.76,1.55,0.51,0.86,-0.35,0.13
 東泥,1110,,2.61,2.71,2.47,1.65,1.4,0.69,0.4,1.62,1.91,1.19,0.78,1.72,2.19,0.93,0.72,0.84,1.96,1.18
 味全,1201,,-5.95,-5.09,-1.58,-17.27,-9.49,-5.72,-2.39,-1.27,2.47,3.21,2.03,6.37,6.41,4.21,2.28,5.53,5.29,3.52
 味王,1203,,8.27,4.98,2.36,8.91,9.11,6.21,3.87,7.19,5.37,4.46,2.55,7.65,7.13,4.56,2.55,3.13,1.82,1.15
 大成,1210,,10.17,6.4,3.06,2.48,3.14,1.19,0.45,5.16,6.71,3.94,1.92,12.64,3.8,1.34,1.69,6.61,6.07,3.88
 大飲,1213,,2.78,1.77,0.73,2.46,4.37,1.69,1.66,1.75,2.77,0.54,0.58,2.56,3.82,0.58,1.39,1.82,3.18,0.41
 卜蜂,1215,,15.15,10.18,4.76,13.68,9.36,5.49,3.38,15.8,11.3,8.1,4.23,9.39,5.38,1.72,1.43,6.47,4.73,0.99
 統一,1216,,12.91,8.93,4.03,14.1,12.59,9.08,4.31,12.62,10.58,8.24,4.62,15.75,13.48,8.57,4.45,14.79,12.17,7.62
 愛之味,1217,,-0.87,-1.4,-0.54,0.61,0.88,-2.17,-1.16,-6.2,-5.62,-4.9,-2.47,-0.94,-1.19,0.12,0.21,0.98,1.34,0.27
 泰山,1218,,7.74,3.76,1.54,3.66,2.34,-0.67,-0.29,2.1,2.24,0.08,0.73,-3.55,2.12,0.49,-0.03,-5.63,3.34,-0.6
 福壽,1219,,1.34,1.19,0.68,1.59,0.68,0.3,0.48,3.29,1.42,1.39,1.16,0.64,-1.17,-1.32,-0.93,-1.63,0.89,-0.4
 台榮,1220,,5.29,4.2,1.68,4.74,3.57,0.66,-0.17,1.87,2.2,1.71,1.05,1.79,2.87,0.95,1.41,6.68,5.7,3.03
 福懋油,1225,,9.9,6.78,3.25,18.45,3.67,1.54,1.1,2.17,-0.55,1.62,1.45,2.79,1.53,1.73,0.96,1.75,3.76,0.11
 佳格,1227,,14.07,9.73,6.33,21.5,17.08,10.71,7.33,18.22,14.13,8.09,4.87,17.9,14.16,10.37,6.75,23.51,17.32,11.27
 聯華,1229,,7.73,4.55,1.66,6.71,6.34,4.57,1.31,7.93,7.34,5.28,3.09,6.5,4.89,2.91,1.14,7.58,5.3,3.97
 聯華食,1231,,11.13,7.15,4.38,13.22,9.32,4.96,3.69,8.65,3.82,1.71,1.05,13.96,9.23,6.81,4.68,16,12.73,7.86
