CompanyName,Q32016,Q22016,Q12016,Q42015,Q32015,Q22015,Q12015,Q42014,Q32014,Q22014,Q12014,Q42013,Q32013,Q22013,Q12013,Q42012,Q32012,Q22012,Q12012
1101 台泥,145457904 ,146772743 ,154750268 ,155484252 ,157639379 ,150965857 ,162219457 ,162017681 ,153411035 ,147496365 ,158255100 ,153618577 ,145196356 ,139207168 ,145365698 ,131743600 ,127124066 ,123579569 ,131463919 
1102 亞泥,139318938 ,140637736 ,146110347 ,154854192 ,160453437 ,158949052 ,167234786 ,161727226 ,152157576 ,148259570 ,153439183 ,152842202 ,145455059 ,143348491 ,146042240 ,100225003 ,97756450 ,96257161 ,103924561 
1103 嘉泥,15891795 ,13342739 ,13984333 ,14046346 ,14090025 ,17235969 ,18648492 ,19282058 ,19135418 ,18791647 ,21493908 ,21498297 ,17460727 ,15769322 ,16395990 ,16458506 ,15749982 ,16626371 ,18661364 
1104 環泥,16205886 ,16172720 ,16363447 ,16000386 ,15981328 ,15760747 ,16105747 ,15797970 ,15172677 ,14753150 ,14910655 ,14539149 ,13746849 ,13566005 ,13731718 ,13383232 ,13305216 ,13112141 ,13272545 
1108 幸福,4771928 ,4696296 ,4945380 ,4845664 ,4774614 ,4669070 ,4771744 ,4615114 ,4508251 ,4443999 ,4484045 ,4403404 ,4399720 ,4346426 ,4283174 ,4201497 ,4236893 ,4196348 ,4234993 
1109 信大,6266429 ,6280820 ,6353801 ,6387928 ,6442124 ,6843029 ,7007616 ,7032121 ,6900056 ,6802690 ,7223050 ,7126364 ,6908200 ,6914699 ,6971521 ,6717088 ,6625064 ,6701918 ,6840055 
1110 東泥,8701916 ,8732738 ,8916640 ,8639693 ,8597414 ,8813796 ,8955192 ,8859325 ,8901673 ,8869812 ,8866521 ,8714799 ,8668372 ,8504676 ,8590987 ,8340911 ,8417948 ,8354556 ,8368929 
1201 味全,7865890 ,7961856 ,8390843 ,8470547 ,9660482 ,10370222 ,10689261 ,11088557 ,11775579 ,11785351 ,11801098 ,11528095 ,11371972 ,11112422 ,11128099 ,10998157 ,10992402 ,10332341 ,10127857 
1203 味王,5073617 ,5065874 ,5275251 ,5166649 ,5205951 ,5047719 ,5352881 ,5149894 ,5050564 ,4925232 ,5122088 ,4897494 ,4814357 ,4722040 ,4817648 ,4726884 ,4688194 ,4639525 ,4738247 
1210 大成,19860752 ,19620494 ,19762567 ,19248606 ,19758503 ,19155682 ,20121996 ,19944399 ,19768283 ,19291925 ,19417543 ,18788276 ,17273679 ,17004559 ,17501940 ,16926053 ,16864277 ,16246967 ,16821747 
1213 大飲,697985 ,690945 ,683773 ,678780 ,691834 ,673579 ,673335 ,662269 ,670082 ,654263 ,654532 ,650749 ,658998 ,637997 ,643170 ,635206 ,644252 ,626684 ,631725 
1215 卜蜂,6265958 ,5792554 ,5782105 ,5184585 ,5116156 ,5098888 ,5217913 ,5357426 ,5219975 ,4823436 ,4907657 ,4872605 ,4233594 ,4197757 ,4908941 ,4834337 ,4708073 ,4851281 ,4827021 
1216 統一,151491180 ,148388255 ,161462195 ,155689737 ,156803828 ,147658166 ,156130138 ,150639133 ,144353946 ,138815872 ,144847461 ,138066611 ,132521851 ,128253637 ,133195918 ,130787521 ,123937782 ,119188262 ,123470490 
1217 愛之味,5871401 ,5933582 ,5990262 ,6094148 ,6183377 ,6257395 ,6185992 ,6219281 ,6226815 ,6285477 ,6272567 ,6431190 ,6417839 ,6320575 ,5861173 ,5870446 ,5735132 ,5705813 ,5737536 
1218 泰山,3676183 ,3538579 ,3465183 ,3409036 ,3415232 ,3326376 ,3337804 ,3355162 ,3371814 ,3304326 ,3328030 ,3306713 ,3502446 ,3453659 ,3423260 ,3539636 ,3911504 ,3753049 ,3789053 
1219 福壽,3893529 ,3889351 ,3950911 ,3923965 ,3910922 ,3893323 ,3957891 ,3939646 ,3736335 ,3733416 ,3773456 ,3735876 ,3669998 ,3664276 ,3709377 ,3792384 ,3891847 ,3841194 ,3969738 
1220 台榮,2348668 ,2305632 ,2333911 ,2306414 ,2279522 ,2173278 ,2221193 ,2216177 ,2225184 ,2223472 ,2280069 ,2254812 ,2261203 ,2199980 ,2287894 ,2296130 ,2276884 ,2207079 ,2184033 
1225 福懋油,3549532 ,3454637 ,3584849 ,3476501 ,2993278 ,2918135 ,2963338 ,2934442 ,2752902 ,2707904 ,2741260 ,2696705 ,2604906 ,2612246 ,2548583 ,2523884 ,2588598 ,2500682 ,2535502 
1227 佳格,13811357 ,13247132 ,14276686 ,13503473 ,13086593 ,12143255 ,12963168 ,12103187 ,11406669 ,10643610 ,11443004 ,10844244 ,10379914 ,9996952 ,10765697 ,10058152 ,9408055 ,8874254 ,9595578 
1229 聯華,22045724 ,20319096 ,20738107 ,20257353 ,20001954 ,21995567 ,21517538 ,21683868 ,20947672 ,21430033 ,21802643 ,20907309 ,19811970 ,18540963 ,20378575 ,19895289 ,21425728 ,21108440 ,21598689 
1231 聯華食,2920736 ,2810795 ,2936341 ,2813976 ,2726495 ,2602158 ,2705962 ,2610842 ,2488295 ,2440283 ,2559454 ,2534957 ,2416929 ,2359578 ,2442044 ,2382596 ,2338738 ,2227355 ,2273175 
1232 大統益,3542060 ,3349277 ,3882780 ,3706038 ,3470592 ,3193986 ,3821011 ,3576829 ,3165303 ,3014945 ,3476445 ,3186880 ,3005176 ,2900658 ,3169549 ,3004140 ,2924791 ,2791665 ,3103146 
1233 天仁,1347229 ,1338120 ,1477049 ,1453716 ,1381170 ,1362136 ,1507809 ,1452216 ,1392734 ,1343394 ,1520819 ,1474923 ,1417213 ,1347245 ,1527441 ,1584772 ,1588561 ,1535771 ,1723560 
1234 黑松,17769236 ,17546834 ,17492986 ,17417246 ,17441581 ,17178943 ,17512485 ,17369599 ,17281647 ,17088590 ,17835803 ,17775131 ,17383853 ,18485341 ,20342528 ,20286789 ,12872264 ,12677254 ,12894997 
1235 興泰,2926401 ,2226370 ,1767277 ,1433392 ,1308619 ,1190185 ,1290004 ,1267942 ,1603933 ,1194151 ,1013307 ,866187 ,949164 ,920989 ,941696 ,967415 ,979630 ,858844 ,923181 
1236 宏亞,1867260 ,1877125 ,1927205 ,1938486 ,1654678 ,1613435 ,1889495 ,1848397 ,1887332 ,1946329 ,1911473 ,1555431 ,1482234 ,1439943 ,1529635 ,1469870 ,1387542 ,1339216 ,1426961 
1256 鮮活果汁-KY,918575 ,852390 ,911206 ,876595 ,914915 ,811626 ,861850 ,822132 ,764918 ,667355 ,693262 ,639858 ,590401 ,524812 ,490150 ,430514 ,408372 ,297954 ,282540 
1258 其祥-KY,893847 ,858056 ,880972 ,775824 ,692390 ,654498 ,660344 ,666760 ,646466 ,630139 ,630540 ,589584 ,568251 ,565936 ,591513 ,571620 ,571620 ,563514 ,607432 
1259 安心,1692188 ,1650584 ,1683129 ,1657641 ,1654322 ,1567797 ,1627597 ,1616481 ,1627776 ,1575339 ,1622296 ,1618156 ,1623483 ,1613480 ,1682030 ,1678636 ,1677375 ,1668722 ,1618116 
